"ID","condition","Random_BIC","Distinct_game_BIC","theta_transfer","lambda_transfer","Distinct_stage_BIC","theta_no_btw_tr","lambda_no_btw_tr","Bayes_distinct_no","theta_no_tr","lambda_no_tr","QL_states_BIC","QL_states_Beta","QL_states_alpha","QLS_within_Tr_BIC","QLS_within_Tr_Beta","QLS_within_Tr_alpha","STEWA_NT_2LL","STEWA_NT_BIC","STEWA_NT_Lambda","STEWA_Tr_2LL","STEWA_Tr_BIC","STEWA_Tr_Lambda","MBM_2LL","MBM2_BIC","MBM2_alpha","MBM2_beta"
"sIk6KD9rUGe2kTq7AABg","Level1",395.500423920519,404.528271213273,0.995835641223836,0.222868836451369,404.419691445606,0.999589558099212,0.237790361648627,405.573885732422,0.404913930998318,0.256599789687,403.667087517017,0.789618905489148,0.146684874186748,398.355222244909,0.902246428319753,0.196003300358376,395.500423920519,400.69338077141,1.33422358330298e-15,395.500423920519,400.69338077141,5.02596511808592e-16,394.885958381364,405.271872083145,7.0371017359816,0.515900442598993
"sJWcEQ_yv-10lmf-AAFN","Level1",395.500423920519,362.896058675974,0.572990280022157,2.18868905750659,358.937548393495,0.929336237789041,1.4261108782002,357.814140839934,0.920385355153033,1.47772797575752,311.297546052327,0.573851254677439,0.86058223323018,308.505583175502,0.653958883611575,0.745121820740574,395.425089878361,400.618046729252,0.0822142313097955,395.500423920519,400.69338077141,4.30896434538969e-16,306.570062932001,316.955976633782,0.775930882457811,0.746101513970643
"e7z8X9BaODupDdzrAAHN","Level2",395.500423920519,403.604189012546,0.97713211874661,0.292303985689733,403.614566555752,0.997348419076342,0.305101968540424,402.695517262884,0.942365748828548,0.376188214016288,384.067981366445,0.838128626225707,0.591036511483161,380.168334922491,0.907975969678515,0.65318733597602,378.79617332347,383.98913017436,2.3083259763324,389.075515766799,394.26847261769,1.22000473506114,373.231808577969,383.617722279749,1.23400994325919,0.784637925680727
"BjBPvEASTEAwT4IBAAFP","Level2",395.500423920519,399.27796682577,0.0184013797753482,42.1921487477274,398.532600314787,0.0571135440012402,12.746553745765,401.422369347641,0.145218012652574,3.64642843998611,387.463966487304,1.20928717492096,0.95019842841167,384.000462556707,0.972450562438042,0.518273697088251,390.911240737253,396.104197588143,1.21302428238102,387.539092995792,392.732049846682,1.66542048777781,376.923790560622,387.309704262402,1.77528067712694,0.924145771993296
"amDuYL1Ye5omcBj6AAAR","Level1",395.500423920519,261.349888759475,0.0431542401727854,75.0850082087779,264.311536229606,0.175489153455952,17.2928010036944,276.065395710874,0.293013414473803,9.69816431533775,308.818862628129,0.506863188122271,0.682142448893369,282.70275182595,0.449020459278767,0.647185482264622,311.247044411559,316.440001262449,8.06292925663271,310.720770943771,315.913727794661,8.55197353806186,296.255628704546,306.641542406327,0.640945367542687,0.838291384970769
"qVfFo-E8nx1aMQrkAAAh","Level1",395.500423920519,403.233203197356,0.018178345944913,27.8636783416628,404.815182009501,0.766475072248259,0.260464701880334,404.561174447877,0.354901290450303,0.696370754657205,379.982629254695,1.29353774632667,0.910703793151733,381.351217055431,1.39825923286219,0.833076082292063,390.707497934956,395.900454785846,1.37186066440145,380.337047550836,385.530004401726,2.5412411409828,367.595752514044,377.981666215825,1.36711058746581,0.614265046780929
"eZLToe7akcCQujPtAANT","Level1",395.500423920519,405.88633762884,8.49138585973377e-10,2.10055037274252,405.886337650237,1.78072452255551e-05,0.000427874917029453,405.886337648966,6.42027450525927e-07,0.011327535569065,402.826413762525,3.48724953311752,0.822627478247136,399.398725655926,1.94259253112289,0.634440075343757,393.694333388712,398.887290239602,0.722069618154934,395.400290025004,400.593246875894,0.16742953378115,390.562917448624,400.948831150404,3.04767344155087,0.895341051975265
"5n2YIMBTH3GYyBUvAACt","Level1",395.500423920519,399.16261128827,0.00101810558275391,995.553406638329,398.987130707844,0.00239087625586666,438.195045188962,396.524600325472,0.0678520706709928,14.0544673155376,383.250266014322,1.15927737942975,0.990049346541899,385.930020468099,1.55771522230975,0.805422446794906,390.09770192604,395.29065877693,1.61308745089166,392.229024306377,397.421981157268,1.10735836645443,372.473149965176,382.859063666956,1.43423161561655,0.589950842550024
"Bfty2Volxvh7TZuAAAAn","Level1",395.500423920519,274.303073459066,0.0349336880928961,91.3221842144973,283.258688521139,0.106684308080976,26.6040966006161,287.832248116778,0.139967484030846,21.3785011220081,306.796504310632,0.438699660428601,0.713279781398709,292.981497945704,0.497244195652839,0.66798874466257,294.0947203577,299.287677208591,8.03803751286917,292.892397885905,298.085354736795,7.91737739696716,293.63489613043,304.02080983221,0.651772975126268,0.212634198414162
"LrE6ZszEnyovbhwZAAD1","Level1",395.500423920519,354.234591705521,0.0154427774153244,150.831310109974,362.948273330015,0.017953584085838,131.689742721069,364.405493413418,0.0269917638348617,87.5793206227704,316.36342917106,0.386151243598014,0.490212557542164,300.060044879591,0.316784469309895,0.265145673556895,376.847926818865,382.040883669755,2.2680322827477,364.878305881506,370.071262732396,2.71614260033667,305.353621304165,315.739535005946,0.727797873539924,0.148483213616148
"fVYQiLoEetexaO0SAABW","Level1",395.500423920519,359.937318483651,0.0330036012728371,50.8634122761953,361.118658276006,0.0806763631891859,20.2045391708104,357.615055705683,0.102450788438749,18.0719857054364,367.713324482354,0.0914654490851611,0.068075592679134,367.636307024171,0.764763983476775,0.467360616479286,368.368119627168,373.561076478058,2.81313706310572,370.093490083591,375.286446934482,3.04492867014142,366.070733404903,376.456647106684,1.2733073219983,0.599954331196848
"ma9i8ks9WP1eBPYhAAAV","Level1",395.500423920519,396.005511928691,0.00732768471185735,160.864229686439,397.583239138554,0.00236512203634058,483.510262166249,395.054746088652,0.0266743240851187,44.5572587676786,377.166194120099,0.427139442940414,0.24911095566846,392.50412267575,0.683377803917528,0.172950016164187,390.452649218344,395.645606069234,1.19265969441523,393.501265494187,398.694222345077,0.722330101228443,376.837425437679,387.223339139459,1.35216433755151,0.771703697949179
"kJ2thT5Z-1Qh2eWpAAHp","Level2",395.500423920519,404.927886968283,0.150561902913519,1.32419572184458,405.127086162729,0.198416931479788,0.940303483032693,405.52178758284,0.116534961233068,1.41280138972256,405.12858706326,5.33696306289575,0.885050182469207,400.52850694678,3.026968648963,0.853503752640768,395.094305066369,400.28726191726,0.356652818925264,395.435468667457,400.628425518347,0.132429653412323,394.895139033464,405.281052735245,9.12775762312807,0.360540743908203
"94-lizWrkNfoLXQuAAGx","Level2",395.500423920519,313.333144526259,0.0212598360592961,132.646665410593,321.368608203198,0.0466978366714057,57.2344008794969,324.552913702552,0.12819615224339,18.5886048744221,330.612891497402,0.420316308047886,0.438697093176775,305.375892141619,0.48557569502767,0.389533482250075,329.179271089199,334.37222794009,5.17333196057376,330.427699595782,335.620656446672,5.11795398904185,321.349121232593,331.735034934373,0.814776177619202,0.555810140774525
"YUCCkBUG83_JkDNGAAAI","Level2",395.500423920519,405.164528956206,0.0839685337046482,2.20026040619579,405.688536222731,0.957562047856893,0.0722652920554173,405.274990077144,0.564900636709639,0.292452418567596,388.067094182126,0.66754454525489,0.370650247014972,369.32531943147,1.10233492645081,0.744726984832973,390.759010106927,395.951966957817,1.46694733583615,386.132757646837,391.325714497728,1.80983368575627,379.86956601435,390.25547971613,1.66700240871922,0.431544460769105
"prcG2V77ivcCj8ziAAAK","Level1",395.500423920519,294.076427641165,0.0194950863649645,168.577333247816,285.132984213313,0.0941704741876804,30.8315935428461,291.607132961484,0.208700347957868,13.1237162477198,305.507905332156,0.222168480257073,0.250916396214873,286.811886824163,0.260975168189036,0.224438619871325,313.290199170477,318.483156021367,6.89832270636501,302.780602819003,307.973559669894,8.34362371877557,301.879812004823,312.265725706604,0.63060022109614,0.247591634048149
"3_JxdNwHO9s_tnGvAAGL","Level2",395.500423920519,379.045486681918,0.0262699208631006,51.783649891653,383.459118749655,0.0797832122290852,14.2722825111287,380.689112551834,0.318601453814514,3.33962543967097,314.435536111785,0.206666472583065,0.290308057196378,309.916847835821,0.358589231741566,0.412539367155915,373.01321627913,378.20617313002,2.4416126600628,358.508297128481,363.701253979372,3.69933091832076,308.890231430231,319.276145132012,0.610427146832361,0.283058066599503
