"game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","ai_action_prev","human_action_prev","pred_a1_level0","pred_a2_level0","pred_a3_level0","pred_a4_level0","pred_a5_level0","pred_a1_level1","pred_a2_level1","pred_a3_level1","pred_a4_level1","pred_a5_level1","pred_a1_level2","pred_a2_level2","pred_a3_level2","pred_a4_level2","pred_a5_level2","ai_action_num","human_action_num","score","block","h_action","a_action","QLS_lik","Bayes_NT_lik","Bayes_Tr_lik"
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",45,"scissors",1743,"scissors",1629.19556266145,"tie","rock","paper",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,3,0,2,"S","S",0.34597714722243,0.33333321351601,0.285401012368329
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",46,"scissors",1242,"paper",1696.39054192534,"human","scissors","scissors",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,3,1,2,"S","P",0.42163838061765,0.333333332932284,0.394386728291567
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",47,"scissors",1419,"rock",1382.16670507124,"ai","paper","scissors",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,-1,2,"S","R",0.263874922913751,0.333333332932013,0.291576938196807
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",48,"paper",1380,"scissors",1724.60375347414,"ai","rock","scissors",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,-1,2,"P","S",0.256196955397821,0.333333452348172,0.314955282874774
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",49,"paper",1364,"paper",2291.85164390531,"tie","scissors","paper",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,2,"P","P",0.267504308920919,0.333333213516009,0.287310313978278
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","rps",50,"scissors",6023,"rock",2249.72742573987,"ai","paper","paper",0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,-1,2,"S","R",0.308045705555139,0.333333332932019,0.292643900036197
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","fwg",1,"water",2381,"grass",1705.2363460752,"ai",NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0,3,2,-1,1,"W","G",0.333333333333333,0.333333332932152,0.33289427399639
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","fwg",2,"grass",1745,"water",1003.26630529373,"human","grass","water",0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,3,1,1,"G","W",0.333333333333333,0.333333332932138,0.401147249298644
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","fwg",3,"grass",969,"water",2878.40297987098,"human","water","grass",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,1,1,"G","W",0.333333333333333,0.333333332932135,0.289871982374773
"052a35fe-d4d9-4ace-8315-9d172b28bb7d","2018-07-17 20:47:39","38VxtUSv_h6RR5-tAAA2","x1X8V7V7JHjNMQNeAAA3","594266258b01c00001e7d5a6","Level2",75,60,"To be different each time and mix up or possibly copy my choices ","fwg",4,"fire",1172,"fire",2177.11551391222,"tie","water","grass",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,"F","F",0.292674798454415,0.333333213516009,0.285151387286351
