"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","lambda_transfer","theta_no_transfer","lambda_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","ST_EWA_STATES_BIC","ST_EWA_STATES_Lambda"
"tWiP-HttMqVnssTJAABW","Level1",380.666248977032,387.795642952976,387.271305915326,0.00121253205004907,569.019124248782,0.0238664987365843,23.9950049677578,390.687519565225,5.70567783273168,0,372.063903725201,1.53811196845943,0.980903545559753,395.446998699116,375.404457522731,0.44164658916682,0.999999999995517,0.865871462626274,1.36335914925372,380.430274177487,0.630825890910834
"IFLGp4SWYD1rUTXOAAAW","Level1",380.666248977032,321.850555609783,314.123971789716,0.0094445626725912,234.109392879881,0.0712071314709146,26.3206556943484,390.687519565225,5.36412670720185,0,275.345968595538,0.307553061987385,0.306175357414146,400.711893827195,380.66935265081,0.0100000142394878,0.999999997475226,0.999999999644856,0.010000000965419,323.787815556789,2.16528306067438
"G1UYl_ZdFvPn_auuAAA0","Level1",380.666248977032,292.506893612126,277.774941202909,0.00349575288366801,999.990296744417,0.016168918837942,196.895794211213,390.687519565225,4.86638306989083,0,250.100383337754,0.131812357372832,0.117822015189893,400.026828558719,379.984287382333,1.16005231080718,0.99998923266857,0.999999531895512,0.0100001573396632,277.729588406175,3.07515194034303
"cpNjZm4TSPEFe4-IAABs","Level1",380.666248977032,370.245423076468,383.915848892872,0.0172360630331696,59.0588156581983,0.0449449991198458,16.7491596366254,390.471942425326,0.00276263847947406,6.93738049840075e-05,370.502478479672,1.20429706782638,0.673497653154671,399.626733112436,379.584191936051,1.10882461288587,0.0100011694085843,0.999966473016942,0.0924117703463646,384.638545541227,0.279244227491751
"wsI-VTgA8Q7jaUGqAAAQ","Level1",380.666248977032,323.433257594934,317.086728801872,0.00558284486345533,456.200813541561,0.0201430350391487,118.233994777381,390.687519565225,5.51836910912106,0,305.808046162858,0.298814810029995,0.189640636305548,400.39229132342,380.349750147035,1.00473801892482,0.99999999996313,0.999999999996554,0.427156402893918,318.95445484372,2.32657083532448
"2Icz3DkcGwi230swAABw","Level2",380.666248977032,387.094577304722,387.532891709886,0.0168491989312573,25.4816199401989,0.0249430416697859,20.7750909752246,390.516045451426,0.00266672681465715,5.85541184515455e-05,388.383602227156,4.30732774358251,0.971068980880694,400.642382746942,380.599841570557,1.06374850816662,0.727834760195724,0.962869147860559,0.199840153688761,382.695032676692,0.473771045716362
"0n-ueZ_Y59EpoZdSAAAe","Level1",380.666248977032,227.044738151772,212.239530184138,0.00557771285297057,784.284990394763,0.0251007851933761,155.215099707506,390.687519565225,6.31205077189158,0,170.129082670297,0.203014378253815,0.293294588653326,399.476670493913,379.434129317528,0.010000000074399,0.999999999941842,0.999999999308509,1.08405140492452,212.538895893259,4.10956285736626
"DuD-LPjDw4N2S-63AAB6","Level1",380.666248977032,244.806751577121,248.074654618956,0.0124183536821299,248.228074424557,0.0189085384102477,187.832015324859,390.687519565225,6.08782840302044,0,263.163395075354,0.220938881384288,0.162444186829003,400.468910988913,380.426369812528,1.15860062882089,0.999850865039614,0.999998949866695,0.010000525102653,282.776495129171,2.73312197800578
"rZNY1f0WR1tWMQF4AABm","Level2",380.666248977032,379.882425301343,377.025442863486,0.0295381867047128,22.1898827777437,0.0359894797121309,23.1477134181751,390.687519565225,5.17741124755366,0,330.578872866587,0.539171486323082,0.484112163383236,400.6104317,380.567890523615,1.18296724891859,0.0101773645392771,0.99999985578526,0.0100000226110003,373.431622125648,0.935932609556867
"FXzVIP95gQOHYZ25AAAw","Level1",380.666248977032,215.70576294088,210.447348541968,0.0130673199425554,272.129815028421,0.0346467399219439,108.937009854426,390.644463622367,3.28385887473145,0.037300309386502,168.194254994686,0.0257820862549755,0.0302169337704831,397.505466460865,377.46292528448,0.0100000000541787,0.999999999780306,0.999999999690667,1.78899182135938,220.521586928282,3.5210429867405
