"ID","condition","Random_BIC","Bayes_Tr_BIC","Bayes_No_Tr_BIC","theta_transfer","theta_no_transfer","QL_BIC","QL_Beta","QL_alpha","QL_states_BIC","QL_states_Beta","QL_states_alpha","EWA_BIC","EWA_2LL","EWA_Phi","EWA_Delta","EWA_Rho","EWA_Lambda","EWA_self_2LL","EWA_self_BIC","EWA_self_Lambda","EWA_states_BIC","EWA_states_Lambda"
"hkwYQrDHoPaA4yMaAABg","Level2",380.666248977032,378.577762245626,378.601099145826,0.153824571408796,0.157479269098188,390.687519565225,10,0,374.246452270247,0.878204793518831,0.341621480500096,400.650013957485,380.6074727811,0.0100000004085145,0.999999998740529,0.999999999998326,0.233695766903816,380.666248977032,385.676884271128,3.17743519615358e-16,377.457944271523,0.830424174397346
"wuPP0rwjmFrZ1QlRAAAK","Level1",380.666248977032,385.676884271129,385.676884271149,1.34918216340002e-13,5.09265091801249e-12,387.097630397365,1,0.1,387.166182613716,1.33547189594635,0.262779672164972,388.843874238521,368.801333062136,0.603685749491949,0.710446514198138,0.104035728300784,0.480892527677375,371.338701247123,376.349336541219,1.0965777708046,385.676884271128,1.28915348657218e-16
"HE1L_7f92p8RhgaIAAAc","Level2",380.666248977032,385.429060804585,385.374289072452,0.0152886757925813,0.0221000945655644,390.687519565225,4.06385667053633,0,388.48172924969,2.40091528647093,0.394425760667204,400.296006266556,380.253465090171,0.860119794646434,0.0100000000716001,0.0100004747861737,0.0896247651923789,379.347713797693,384.35834909179,0.584701314435448,385.676884271128,1.92648380501115e-15
"iDh62P2wg6ao1dSUAACk","Level2",380.666248977032,385.676884274765,385.676884271605,5.99458166318012e-11,7.85973577171675e-12,390.687519565225,3.656105689681,0,338.396986564238,0.0664084910570983,0.0206460129729207,389.284536199039,369.241995022654,1.23463880342002,0.119464126155656,0.997344507231015,0.0100787593335932,380.666248977032,385.676884271128,3.18276305750501e-16,385.676884271128,3.22044640226483e-16
"vuzUzEEiYLwXW9x9AAAO","Level1",380.666248977032,383.216912628289,382.113331749768,0.0825009888362932,0.102743802389981,390.687519565225,9.84190870132788,0,366.990090507021,0.15943904602122,0.0619722536758661,396.405961894312,376.363420717927,0.104443264668654,0.999999999997115,0.0100000000158743,0.227973963730143,379.821591940275,384.832227234372,0.302840759700038,380.301508728133,0.576798454451947
"7UidQyU1y52UvfhMAACo","Level2",380.666248977032,356.481363513728,357.582229262365,0.287901557539148,0.290265338694042,390.687519565225,4.14774348805712,0,355.219790912673,0.155704695349571,0.079316579482313,399.645724004608,379.603182828223,1.19073281614177,0.286127033579205,0.999999924760571,0.0100000334438958,380.666248977032,385.676884271128,3.8896699022684e-16,374.552940358675,1.0331860865942
"E8kPvIi6RmunS_t2AAAu","Level2",380.666248977032,334.114322006996,332.635804603346,0.379760727150734,0.388840404395402,390.687418235562,3.78635307574318,0.00144926478267205,305.423399134801,0.523640018564551,0.572897789853094,400.640075558158,380.597534381773,1.03715975251104,0.0100000010134714,0.289115514666041,0.0100000049721694,380.666248977032,385.676884271128,4.09702989634786e-16,324.583169168512,2.06495717665382
"Hg433PNmJWz9FixvAACM","Level2",380.666248977032,360.851564172237,358.703841953884,0.266345904247764,0.281585304936691,388.565247859784,0.0389468956500308,0.00311440678945025,356.242869272825,0.484282798736892,0.341137560977732,395.516656225726,375.474115049341,1.03621682754061,0.58920219195024,0.957311620854456,1.33380872276925,380.666248977032,385.676884271128,3.52366922541152e-16,360.452281747708,1.59257855854905
"zPmO4kt4wkjme_W5AABq","Level2",380.666248977032,384.030394567038,383.849342499924,0.0749246899667823,0.0901444553239246,390.687519565225,5.02014190999012,0,386.416505854281,2.18162745987539,0.552788880039243,400.708431237182,380.665890060797,0.777195704884135,0.999999999968167,0.999999999999087,0.0183414782138146,380.666248977032,385.676884271128,8.33100626724179e-16,382.007637235018,0.67383844818052
"YKayqpSUklwV5pOWAABe","Level1",380.666248977032,300.080950597653,208.041961546264,0.479791833874983,0.740800495589414,390.687519565225,6.23112165771523,0,162.015327197873,0.196308234873426,0.306740302858037,400.300293778898,380.257752602513,0.0100000010215706,0.999999998491939,0.999999999954012,0.617358069722465,380.666248977032,385.676884271128,2.94158156961657e-16,172.610751615178,4.86287361910504
"06i_Cux84PGac8aqAAAA","Level2",380.666248977032,385.676884271137,385.676884271143,1.31464768470056e-12,2.19524561785397e-12,390.579592730224,2.40212245350365,0.0623177261102158,390.648939435745,3.93967509862066,0.053184245682837,398.822920933106,378.780379756721,0.949548423946339,0.0100000000130507,0.99999999999975,2.26474820571885,380.36258781329,385.373223107386,0.275846178705256,385.676884271128,2.32570100482786e-16
"k-jbqaetGTrE-1e_AAAk","Level2",380.666248977032,282.25591586892,280.328034023,0.567599959399068,0.577157477238539,390.687519565225,7.82463231709115,0,261.38942467606,0.167728239968324,0.126424227704154,399.833042552836,379.790501376451,1.11491712939024,0.237193553696819,0.6112524249993,0.010004022283375,380.666248977032,385.676884271128,2.80688524209542e-16,289.421386681966,2.92850397744914
"c56kda3LQEpjIPm3AACE","Level2",380.666248977032,309.413412333128,309.302625758259,0.492248330465259,0.495050308057775,390.687501325552,2.55070872616868,0.000542353702565586,273.057307530219,0.482421827345126,0.845980175440408,400.509535769399,380.466994593014,1.09815937791695,0.99982562297144,0.746079110289838,0.0102933305869164,380.666248977032,385.676884271128,2.45365808612382e-16,274.94145269221,3.07775829799145
"62ksRmCUyOlOJWTQAAB2","Level2",380.666248977032,224.170298781686,223.330283825392,0.693124676118636,0.692132267931802,390.687519565225,6.79528644124139,0,230.993917557417,0.145657625351646,0.136713283922293,400.583048502767,380.540507326382,1.14137768779339,0.999511748361409,0.972749821463967,0.0100094125799716,380.666248977032,385.676884271128,2.59846094433857e-16,226.21011466829,3.7944990430553
"90EJZg_2bJ92R8vmAAAa","Level2",380.666248977032,345.14850926704,345.098387885782,0.364480802714595,0.369253578160808,384.858513418717,0.00788525112304551,0.00127423704414601,277.571960214855,0.13986165962997,0.127540554230323,377.572865903366,357.530324726981,1.07960893213628,0.398789955827143,0.360319263296666,0.135554545413914,380.666248977032,385.676884271128,2.43905404400506e-16,323.319511074769,2.18755486870047
"Nsa2geNpUZ9ulTlKAABG","Level1",380.666248977032,362.261828886666,351.853090408187,0.260254163459487,0.314504272316263,382.326630992481,2.57203286447887,0.99,169.980118032337,0.0496713951524973,0.0743927863051517,397.158985538884,377.116444362499,0.977427246332368,0.0100000582032942,0.0114006931251328,0.0507649944340675,380.666248977032,385.676884271128,1.57214355366588e-16,351.535259341905,1.67064926070746
"sgIt_KViZxGWuvbTAAB8","Level2",380.666248977032,356.390453667885,354.057083568498,0.269382968944882,0.279281358686048,390.687519565225,4.05593620652188,0,324.028801787202,0.0756427679564897,0.0330655631721559,400.625954867039,380.583413690654,1.04308536394341,0.99999681009536,0.271830977007674,0.0100052528115467,380.666248977032,385.676884271128,5.74168653082564e-16,366.12530315497,1.22016608687099
"eJ5xg-wBh5lN4PNyAABi","Level1",380.666248977032,236.432102288641,135.072464170298,0.66427858474197,0.874696131972629,390.687519565225,5.94317203472861,0,119.496717281534,0.0659626615872472,0.148403063947275,397.405320549117,377.362779372732,0.0100000000289847,0.999999999843593,0.999999999968605,1.81545989243831,380.666248977032,385.676884271128,1.96687929251373e-16,99.8592087874282,8.59678190086621
